image_number,nuclei_object_number,center_x_mean,center_y_mean,effective_radius_circle
1,4,330.9897105488451,60.47913006295955,12.155218217221291
1,6,481.61206459561055,128.71263172853287,18.864512898590096
1,7,628.586111111111,112.44444444444434,12.71920984337403
1,8,258.9166666666665,108.20833333333326,6.007711094301877
1,9,525.7462497819639,124.63079539508092,11.21875205541339
1,11,77.89814814814814,165.14814814814812,27.90204849681416
1,12,200.96188811188793,165.23668474382742,14.873819580233194
1,13,578.7291666666666,173.14583333333326,17.696602868528913
1,14,406.68645889949926,200.5724465394434,48.71171508115673
1,15,260.6575993185441,232.3336913418849,20.74303231460901
1,17,307.47785250463784,291.61974335188586,7.802938211364851
1,20,692.4660431807555,394.9523603496393,25.93838279099381
1,21,431.9468798844626,422.34665421667364,27.274594082396728
1,23,479.03203782180344,478.12003871670566,39.19640297635661
1,25,601.7956350599205,615.268142028856,27.003651494847553
1,26,498.0,616.0,0.0
1,27,1059.721786593178,659.7119090524197,18.02634138118417
1,28,693.0411986619487,677.245884835087,18.45245461019443
1,32,627.6150512875738,711.4586228692722,15.553337568066048
1,33,243.63329692310512,791.6144290507528,11.240643432507047
1,34,475.63333333333316,777.0249999999997,11.49023202980576
1,35,141.55058469442514,806.2733475193619,14.70268233005662
1,36,438.1958333333332,828.961111111111,25.063830037161225
1,37,187.5985361371296,840.8150370801692,15.246729252298534
1,39,653.1095146953281,892.1141829728057,23.871624816743626
1,40,456.4547008547007,905.8118233618233,13.517413244359185
1,41,175.6041666666666,901.8916666666665,15.025403043696308
1,42,33.50531614849794,917.0213170667713,10.159742319604495
1,43,664.9458333333332,937.0583333333332,10.46096506654437
2,1,237.25490499084225,47.694740155677636,12.439417068906675
2,3,155.8842532467531,104.16484392800169,12.867762314050738
2,4,60.88934228650137,116.48520431588601,13.710649504086613
2,5,257.2314534687863,152.72227591343545,18.137049829444397
2,8,528.189558313518,161.1518781234704,14.379694546014834
2,9,326.71283082029703,173.42955620131247,14.708281562596637
2,10,128.75226397345477,178.72598681997198,14.239025681846591
2,11,731.7606770833333,235.63125000000002,24.494165337103432
2,12,169.50913810394636,235.16330840308768,12.121098353691444
2,13,341.064273226773,236.7796956515704,15.317252319050173
2,14,528.4207323456824,267.944398191331,19.52523378001228
2,17,779.1296445180238,283.19741963993414,17.550374480900565
2,18,424.46031660747957,283.20071297234387,11.425518696855962
2,19,609.0636572809211,316.42685558185593,19.070194134603465
2,21,279.5988306506388,313.87260615811925,23.896589538100766
2,22,730.4909511240389,346.5203431372546,12.63070104771718
2,24,457.0372599041706,376.1849966238571,26.77362424210023
2,25,394.9611508967153,369.31673615837764,21.709087638110528
2,26,96.88724510138981,375.23015493278615,9.879286204909109
2,27,636.9000621697048,405.8417852899994,11.186051689728835
2,28,289.147299748862,397.4600210553333,14.955742376430043
2,30,342.8333844971978,444.99828590875074,22.089301782360533
2,31,241.3807165748167,468.85087777523916,35.52573477700192
2,32,417.8557845963558,475.0861874316159,15.036651982496446
2,33,597.0546296296294,461.29907407407387,11.376729862457042
