ImageNumber,ObjectNumber,FileName_TIF,PathName_TIF,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4299,6318,552,92,471,14,513.0825773,54.78646197,1.323777103,4611,0.418145785,73.98416589,1,0.680436847,0.755414184,78.52047128,85.90692638,33.54101966,11.53120302,10,70.12460057,71.32642042,64.49123074,267.4213562,0.932335719,513.0825773,54.78646197,0,1
1,2,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,12940,19865,478,142,333,5,401.7908037,71.89157651,1.485386046,14275,0.709996245,128.3577801,1,0.651396929,0.673225659,155.1212822,155.0806242,48.09365863,18.03669968,16.2788206,113.900111,109.2372542,-54.79118658,491.4640328,0.90647986,401.7908037,71.89157651,0,2
1,3,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4322,6723,902,108,819,27,858.8128181,67.57357705,1.245130846,4532,0.479701827,74.18181254,1,0.642867767,0.803128445,80.08452986,82.15229759,31.38470965,11.47842801,10.12395732,67.17514421,70.26869464,39.49346655,260.0487732,0.953662842,858.8128181,67.57357705,0,3
1,4,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,6010,8989,347,138,258,37,302.5372712,80.65607321,1.509154555,6734,0.650475374,87.47668069,1,0.668594949,0.662622656,104.4299816,106.5082156,34.17601498,12.12042554,11,86.22894749,79.31742665,14.57012664,337.6051224,0.892485892,302.5372712,80.65607321,0,4
1,5,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4577,6192,121,120,49,34,83.55625956,80.26917195,1.155195372,4668,0.530550008,76.33883282,1,0.739179587,0.865654438,83.23523516,85.70880935,35,12.46391536,11.04536102,70.20256406,70.55464985,3.462177515,257.764502,0.98050557,83.55625956,80.26917195,0,5
1,6,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4275,6156,504,164,423,88,463.0301754,128.3361404,1.165739298,4433,0.535985828,73.77736139,1,0.694444444,0.857824731,80.77499827,80.09993758,32.20248438,11.87525838,10.63014581,66.80380002,68.19243275,-59.66308394,250.2497834,0.964358222,463.0301754,128.3361404,0,6
1,7,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4461,6068,656,174,582,92,619.9275947,130.3422999,1.187466513,4649,0.399464246,75.36525465,1,0.735168095,0.842129011,79.1720232,81.78630692,33.61547263,12.06395903,10.63014581,73,72.58085526,13.59784744,258.0071427,0.959561196,619.9275947,130.3422999,0,7
1,8,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4455,6642,289,179,208,97,246.9905724,134.6141414,1.260688619,4716,0.423792439,75.31455485,1,0.670731707,0.793217282,79.66435351,81.74350127,33.9411255,12.02019455,10.63014581,73.45641586,72.15673167,31.32787873,265.6639969,0.944656489,246.9905724,134.6141414,0,8
1,9,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4420,6150,584,179,502,104,543.4809955,139.9579186,1.161608349,4533,0.397170005,75.01812306,1,0.718699187,0.860875355,78.50595072,81.3019065,35.34119409,12.35862784,11,71.33606719,72.0484481,-74.92194844,254.0071427,0.975071696,543.4809955,139.9579186,0,9
1,10,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,6327,10980,186,195,96,73,144.1988304,138.68263,1.588682819,7476,0.778118324,89.75403389,1,0.576229508,0.629452266,117.6638734,122.1883792,32.31098884,11.86807258,10.63014581,81.97654449,73.90676427,-6.302368599,355.4041123,0.846308186,144.1988304,138.68263,0,10
1,11,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4157,6075,125,223,50,142,83.56194371,182.3721434,1.214756785,4325,0.468912671,72.75202257,1,0.684279835,0.823210055,78.0464564,80.09993758,31.90611227,11.53691007,10.19803903,69.21393802,68.93410603,22.47143739,251.9066376,0.961156069,83.56194371,182.3721434,0,11
1,12,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4562,6318,259,230,178,152,217.9991232,192.6229724,1.220285157,4757,0.652288269,76.21363922,1,0.722063944,0.819480589,87.94265778,87.7097486,32.20248438,12.10323512,10.81665383,66.61044476,66.65798297,52.66926187,264.492424,0.959007778,217.9991232,192.6229724,0,12
1,13,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4368,6106,633,240,562,154,597.584707,196.7506868,1.17543702,4533,0.545488207,74.5755344,1,0.715361939,0.85074741,81.75961072,85.70880935,33.01514804,12.02297693,10.63014581,70,68.5242421,18.51291822,254.0071427,0.963600265,597.584707,196.7506868,0,13
1,14,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,7960,11766,453,276,347,165,401.3859296,219.6061558,1.196547665,8285,0.352764149,100.6726714,1,0.676525582,0.835737705,104.4950386,110.2225022,46.61544808,16.1725443,14.14213562,96.0010707,97.7772899,18.56833365,345.9604615,0.96077248,401.3859296,219.6061558,0,14
1,15,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4314,5609,327,279,248,208,285.7320352,243.162726,1.165656235,4434,0.436720252,74.11312567,1,0.769121055,0.857885858,78.46576993,83.57032966,33.61547263,12.04105887,10.77032961,68.98534162,70.58759997,79.34897619,251.3797257,0.972936401,285.7320352,243.162726,0,15
1,16,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,11395,18348,637,365,498,233,569.820272,296.524265,1.773739149,12929,0.686308726,120.4515032,1,0.621048616,0.563780757,148.2122927,153,37.20215048,14.39287397,13.41640786,115.9470702,107.7963332,53.64715105,503.9726548,0.881351999,569.820272,296.524265,0,16
1,17,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4239,6162,356,354,278,275,313.2120783,316.8343949,1.188964531,4359,0.442777638,73.46606312,1,0.687925998,0.841067983,78.09622718,79.55501241,33.73425559,11.9370522,10.63014581,68.51244647,70.02353368,20.01009002,251.6639969,0.97247075,313.2120783,316.8343949,0,17
1,18,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,7084,8880,503,416,429,296,466.2132976,354.3994918,1.316144564,7443,0.786921486,94.97172703,1,0.797747748,0.759794955,121.870074,119.3398508,34.92849839,13.8806033,12.64911064,73,75.20031157,-0.028388939,342.2914139,0.951766761,466.2132976,354.3994918,0,18
1,19,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4045,5928,667,419,589,343,626.6845488,383.8749073,1.204677257,4216,0.499850642,71.76526986,1,0.682354926,0.830097849,77.47773184,79.30952024,31.11269837,11.52059653,10.19803903,65.95764399,67.10436372,-57.07388497,247.4568901,0.959440228,626.6845488,383.8749073,0,19
