image_number,object_number,path_name_tif,file_name_tif,center_x,center_y,bounding_box_min_x,bounding_box_max_x,bounding_box_min_y,bounding_box_max_y,bounding_box_area,orientation,major_axis_length,minor_axis_length,area,convex_area,perimeter,eccentricity,form_factor,compactness
3,1,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,693.0947132,59.08008999,655,733,19,98,6162,-45.90105663,83.64799691,67.94617218,4445,4584,257.764502,0.5832580820000001,0.8406890920000001,1.189500386
3,2,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,295.1849211,118.99675959999999,255,334,81,161,6320,62.30932067,82.04267897,72.99577564,4629,4861,269.0782105,0.45648851700000004,0.8034150879999999,1.244686607
3,3,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,282.5280242,182.9982688,246,326,139,230,7280,28.746599800000002,87.72287094,71.94732674,4621,5266,300.56958849999995,0.572125454,0.642770237,1.555765874
3,4,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,211.89464449999997,190.4579871,151,268,117,271,18018,27.1824442,161.4168084,89.13510974,10830,11781,442.70057689999993,0.833708607,0.6944134829999999,1.440064204
3,5,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,345.9122445,212.31970750000002,297,393,171,253,7872,-56.89925111,92.18886454,74.99512273,5333,5644,291.119841,0.5815727829999999,0.790747517,1.264626165
3,6,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,108.4616084,240.55839669999997,5,218,133,338,43665,51.4144578,240.0792826,153.9410111,27493,30802,791.1341263999999,0.7673662370000001,0.551990697,1.8116247330000002
3,7,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,1078.326252,352.6437785,1037,1120,310,396,7138,31.63489096,85.64873254,78.81545141,5272,5450,282.97770539999993,0.391407705,0.827333908,1.208701819
3,8,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,108.0136149,365.4274799,46,155,316,417,11009,55.02971484,108.29763290000001,87.98649237,7198,7641,346.67619019999995,0.583029836,0.752616397,1.328698131
3,9,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,751.9430815000001,422.7139352,714,794,384,466,6560,-27.20445719,76.85512094,69.38374378,4076,4357,263.66399690000003,0.430089583,0.7367877159999999,1.35724304
3,10,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,233.8088381,446.43421050000006,198,269,410,482,5112,-36.20491159,72.84124169,70.57729090000001,4028,4085,235.137085,0.247376698,0.915497296,1.092302516
3,11,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,587.6286522,469.62477750000005,547,634,401,553,13224,-4.299802653,152.06419250000002,82.14105096,9549,10043,413.1025971,0.84155366,0.7031563559999999,1.422158801
3,12,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,657.2549177,487.98414289999994,619,699,446,528,6560,-37.54880838,85.53424977,74.85247709,4982,5117,272.35028839999995,0.48391137100000003,0.8440300479999999,1.184791942
3,13,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,464.71367130000004,498.5991399,427,502,461,536,5625,54.96477116,77.39806174,72.88242799,4418,4487,248.5512986,0.336574005,0.898676743,1.112747167
3,14,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,470.53114919999996,574.808141,430,520,542,626,7560,-37.25738172,84.95241337,73.92526048,4029,4946,320.5990258,0.492705503,0.49258676,2.030099224
3,15,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,614.5256360000001,590.8146771,575,656,550,633,6723,-38.23706306,83.52277904,77.9761657,5110,5189,266.0071427,0.358338816,0.907494847,1.101934632
3,16,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,58.14430829,616.8885842999999,20,101,569,663,7614,9.049632165,97.32330909999999,82.11350574,6202,6333,299.86500710000007,0.536785417,0.8667424140000001,1.153745316
3,17,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,713.8162756,699.8634548,681,749,663,740,5236,18.29615864,76.33248849,67.15506592,4006,4076,237.62236639999998,0.47539877700000005,0.891550968,1.121640866
3,18,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP67_18_B6_CRE_003.tif,761.5946932999999,751.0486855,726,799,716,791,5475,-37.94685178,74.58947052,70.38729754,4108,4190,240.9360749,0.330909051,0.889276134,1.124510106
