ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_Nuclei_with_XISTpuncta_Count,Children_XIST_CLOUD_Count,Intensity_IntegratedIntensityEdge_Masked_XIST,Intensity_IntegratedIntensity_Masked_XIST,Intensity_LowerQuartileIntensity_Masked_XIST,Intensity_MADIntensity_Masked_XIST,Intensity_MassDisplacement_Masked_XIST,Intensity_MaxIntensityEdge_Masked_XIST,Intensity_MaxIntensity_Masked_XIST,Intensity_MeanIntensityEdge_Masked_XIST,Intensity_MeanIntensity_Masked_XIST,Intensity_MedianIntensity_Masked_XIST,Intensity_MinIntensityEdge_Masked_XIST,Intensity_MinIntensity_Masked_XIST,Intensity_StdIntensityEdge_Masked_XIST,Intensity_StdIntensity_Masked_XIST,Intensity_UpperQuartileIntensity_Masked_XIST,Location_CenterMassIntensity_X_Masked_XIST,Location_CenterMassIntensity_Y_Masked_XIST,Location_CenterMassIntensity_Z_Masked_XIST,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Masked_XIST,Location_MaxIntensity_Y_Masked_XIST,Location_MaxIntensity_Z_Masked_XIST,Number_Object_Number,Parent_Nuclei_X
1,1,2,2,666,51,665,49,665,49.5,0,2,1,1.595769122,1,1,inf,2,1,1,1,1,0,0,0,0,1,1,1,0.010803388,0.010803388,0.005401694,0.000976577,0.045197736,0.005889983,0.005889983,0.005401694,0.005401694,0.005889983,0.004913406,0.004913406,0.000488289,0.000488289,0.005889983,665,49.45480226,0,665,49.5,0,665,49,0,1,1
1,2,2,2,668,51,667,49,667,49.5,0,2,1,1.595769122,1,1,inf,2,1,1,1,1,0,0,0,0,1,1,0,0.010025178,0.010025178,0.005012589,0.000137332,0.006849349,0.005081255,0.005081255,0.005012589,0.005012589,0.005081255,0.004943923,0.004943923,6.87E-05,6.87E-05,0.005081255,667,49.49315065,0,667,49.5,0,667,49,0,2,1
1,3,2,2,454,64,453,62,453,62.5,0,2,1,1.595769122,1,1,inf,2,1,1,1,1,0,0,0,0,1,1,1,0.010543985,0.010543985,0.005271993,0.000503547,0.023878423,0.005523766,0.005523766,0.005271993,0.005271993,0.005523766,0.005020219,0.005020219,0.000251774,0.000251774,0.005523766,453,62.52387842,0,453,62.5,0,453,63,0,3,2
1,4,2,2,106,144,105,142,105,142.5,0,2,1,1.595769122,1,1,inf,2,1,1,1,1,0,0,0,0,1,1,1,0.014969099,0.014969099,0.00748455,0.002151521,0.07186541,0.00856031,0.00856031,0.00748455,0.00748455,0.00856031,0.006408789,0.006408789,0.00107576,0.00107576,0.00856031,105,142.5718654,0,105,142.5,0,105,143,0,4,3
1,5,5,6,93,170,91,167,91.4,168.2,0.431532092,5,0.816496581,2.523132522,1,0.833333333,2.317324754,3.098386677,2.236067977,1,1,1,1,1.788854382,18.43494882,5.207106781,1,1,1,0.026184483,0.026184483,0.005043107,0.000343328,0.006780933,0.005661097,0.005661097,0.005236897,0.005236897,0.00531777,0.004913406,0.004913406,0.000274221,0.000274221,0.005592432,91.40617712,168.2027972,0,91.4,168.2,0,92,168,0,5,3
1,6,26,30,527,268,522,262,523.9615385,264.3846154,0.954208876,28,0.652272181,5.753627392,1,0.866666667,1.047988574,6.707536035,6.403124237,2.236067977,1.303573932,1,4,5.08421056,23.52717419,17.65685425,0.928571429,1,1,0.088532839,0.158632783,0.005355916,0.000610361,0.097619155,0.006759746,0.008545052,0.005533302,0.006101261,0.005844206,0.004898146,0.004898146,0.000534661,0.000983892,0.006637674,523.9695075,264.287322,0,523.9615385,264.3846154,0,524,263,0,6,4
1,7,33,49,527,274,520,267,523.2121212,270.030303,1.095454237,38,0.270020767,6.482044814,1,0.673469388,0.912863327,6.812907795,6.708203932,2.828427125,1.376852303,1,5.375872022,6.559838919,-79.83843159,21.3137085,0.868421053,1,1,0.099626143,0.19678033,0.005382619,0.000579843,0.071293597,0.006393529,0.007507438,0.005534786,0.00596304,0.005897611,0.004898146,0.004898146,0.000438866,0.000700232,0.006481269,523.1426799,270.0464485,0,523.2121212,270.030303,0,522,269,0,7,4
1,8,12,15,525,276,520,273,521.8333333,273.9166667,0.695717241,12,0.795006059,3.908820095,1,0.8,1.437365559,4.894994432,4.123105626,2,1.152368927,1,2,2.969310911,80.58312354,10.24264069,1,1,0,0.051102459,0.070496675,0.005539024,0.000427254,0.011526814,0.006469825,0.006866559,0.005678051,0.005874723,0.006042572,0.004882887,0.004882887,0.000511143,0.000580043,0.006424047,521.8268399,273.9071429,0,521.8333333,273.9166667,0,522,274,0,8,4
1,9,6,9,507,344,504,341,504.8333333,342,0.510995786,7,0.87038828,2.763953196,1,0.666666667,1.9569633,3.829708431,2.828427125,1,1,1,1.341640786,1.885618083,36.86989765,6.207106781,0.857142857,1,1,0.039581906,0.039581906,0.006240941,0.00094606,0.06092296,0.007949951,0.007949951,0.006596984,0.006596984,0.006713971,0.005081254,0.005081254,0.00095018,0.00095018,0.0076524,504.81303,341.9425597,0,504.8333333,342,0,505,342,0,9,5
1,10,1,1,509,343,508,342,508,342,0,1,0,1.128379167,1,1,inf,0,0,1,1,1,0,0,45,0,1,1,1,0.005996796,0.005996796,0.005996796,0,0,0.005996796,0.005996796,0.005996796,0.005996796,0.005996796,0.005996796,0.005996796,0,0,0.005996796,508,342,0,508,342,0,508,342,0,10,5
